Title,Year,Rating,Runtime,Critic.Score,Box.Office,Award
The Whole Nine Yards,2000,R,98,45,57.3,FALSE
Gladiator,2000,R,155,76,187.3,TRUE
Cirque du Soleil,2000,G,39,45,13.4,FALSE
Dinosaur,2000,PG,82,65,135.6,FALSE
Big Momma's House,2000,PG-13,99,30,0.5,FALSE
Gone in Sixty Seconds,2000,PG-13,118,24,101,FALSE
Shaft,2000,R,99,68,70.3,FALSE
"Me, Myself & Irene",2000,R,116,48,0.6,TRUE
Chicken Run,2000,G,84,97,106.6,FALSE
The Patriot,2000,R,165,62,2.3,TRUE
The Adventures of Rocky & Bullwinkle,2000,PG,92,43,0.4,FALSE
The Kid,2000,PG,104,49,68.5,FALSE
X-Men,2000,PG-13,104,82,156.2,TRUE
What Lies Beneath,2000,PG-13,130,46,155,FALSE
Thomas and the Magic Railroad,2000,G,85,19,2,FALSE
Nutty Professor II: The Klumps,2000,PG-13,106,26,122.4,TRUE
Hollow Man,2000,R,112,27,72.1,FALSE
Coyote Ugly,2000,PG-13,100,22,59.8,TRUE
Space Cowboys,2000,PG-13,130,78,89.4,TRUE
The Replacements,2000,PG-13,118,40,44,TRUE
Bless the Child,2000,R,107,3,28.1,FALSE
The Original Kings of Comedy,2000,R,115,86,37.7,TRUE
The Cell,2000,R,107,45,60,TRUE
The Crew,2000,PG-13,88,20,12.5,FALSE
Bring It On,2000,PG-13,98,63,67.9,TRUE
The Art of War,2000,R,117,16,29.5,FALSE
The Tao of Steve,2000,R,87,80,2.6,FALSE
Whipped,2000,R,82,13,3.8,FALSE
Backstage,2000,R,86,31,0.7,FALSE
Turn It Up,2000,R,86,8,0.7,FALSE
The Way of the Gun,2000,R,119,48,5.2,TRUE
Nurse Betty,2000,R,110,84,25,TRUE
The Watcher,2000,R,97,10,28.6,TRUE
Duets,2000,R,112,20,4.3,FALSE
Bait,2000,R,119,26,14.9,TRUE
Urban Legends: Final Cut,2000,R,97,9,21,TRUE
Woman on Top,2000,R,92,34,4.5,TRUE
Almost Famous,2000,R,122,88,31.7,TRUE
Remember the Titans,2000,PG,113,73,114.3,TRUE
Beautiful,2000,PG-13,112,16,2.8,TRUE
Dancer in the Dark,2000,R,140,68,2.8,FALSE
Meet the Parents,2000,PG-13,108,84,164.5,FALSE
Girlfight,2000,R,110,87,0.8,FALSE
Digimon: The Movie,2000,PG,82,25,9,FALSE
Get Carter,2000,R,102,12,14.6,FALSE
Dr. T and the Women,2000,R,122,57,12.1,FALSE
The Contender,2000,R,126,76,16.1,TRUE
Lost Souls,2000,R,97,7,16.4,FALSE
The Ladies Man,2000,R,84,11,13.4,FALSE
Best in Show,2000,PG-13,90,95,16.6,FALSE
Pay It Forward,2000,PG-13,123,40,32.8,FALSE
Bamboozled,2000,R,135,48,1.9,TRUE
Bedazzled,2000,PG-13,93,49,37,FALSE
Lucky Numbers,2000,R,105,22,9.5,TRUE
The Little Vampire,2000,PG,95,55,13.4,TRUE
Charlie's Angels,2000,PG-13,98,67,124.4,FALSE
The Legend of Bagger Vance,2000,PG-13,126,43,30.4,TRUE
Red Planet,2000,PG-13,106,14,17.1,FALSE
Little Nicky,2000,PG-13,90,22,38.5,TRUE
Men of Honor,2000,R,129,41,46.2,TRUE
The 6th Day,2000,PG-13,123,41,33.8,TRUE
How the Grinch Stole Christmas,2000,PG,104,53,259,FALSE
102 Dalmatians,2000,G,100,31,65.4,FALSE
What's Cooking?,2000,PG-13,109,52,0.7,TRUE
Dungeons & Dragons,2000,PG-13,107,10,14.8,FALSE
Proof of Life,2000,R,135,40,31.2,TRUE
Vertical Limit,2000,PG-13,124,48,67.8,FALSE
What Women Want,2000,PG-13,127,54,181.5,TRUE
Requiem for a Dream,2000,R,102,78,2.5,FALSE
The Emperor's New Groove,2000,G,78,85,87.3,FALSE
"Dude, Where's My Car?",2000,PG-13,83,18,45,FALSE
The Family Man,2000,PG-13,125,53,73.7,FALSE
You Can Count on Me,2000,R,111,95,8.4,TRUE
Miss Congeniality,2000,PG-13,109,42,105.5,FALSE
Quills,2000,R,124,75,4.3,FALSE
All the Pretty Horses,2000,PG-13,116,32,14.7,FALSE
Traffic,2000,R,147,92,123.8,FALSE
State and Main,2000,R,105,86,5.8,FALSE
"Crouching Tiger, Hidden Dragon",2000,PG-13,120,97,127.7,FALSE
Thirteen Days,2000,PG-13,145,83,33.1,TRUE
Finding Forrester,2000,PG-13,136,74,51.4,TRUE
The Gift,2000,R,111,57,11.2,FALSE
Chocolat,2000,PG-13,121,63,71.3,FALSE
Snatch.,2000,R,102,73,30.1,TRUE
Shadow of the Vampire,2000,R,92,81,7.5,TRUE
"O Brother, Where Art Thou?",2000,PG-13,106,77,45.2,FALSE
Before Night Falls,2000,R,133,73,2.8,TRUE
An Everlasting Piece,2000,R,103,48,0.0091,FALSE
Pollock,2000,R,122,81,7.3,FALSE
Memento,2000,R,113,92,23.8,FALSE
The Golden Bowl,2000,R,130,54,2.2,FALSE
Songcatcher,2000,PG-13,109,74,1.6,FALSE
The Endurance,2000,G,97,95,2.1,TRUE
Tadpole,2000,PG-13,78,78,2.9,TRUE
The Debut,2000,R,88,74,1.5,FALSE
Antitrust,2001,PG-13,109,24,11,FALSE
Double Take,2001,PG-13,88,12,28.5,FALSE
The Pledge,2001,R,124,78,18.9,FALSE
"Scotland, Pa.",2001,R,104,59,0.2,FALSE
Sugar & Spice,2001,PG-13,81,28,12.4,FALSE
Head Over Heels,2001,PG-13,86,10,9.9,FALSE
Valentine,2001,R,96,8,19.8,FALSE
Hannibal,2001,R,131,39,163.9,TRUE
Saving Silverman,2001,PG-13,90,18,19,FALSE
Recess: School's Out,2001,G,82,61,34.8,FALSE
Sweet November,2001,PG-13,119,16,24.4,FALSE
Down to Earth,2001,PG-13,87,20,63.1,FALSE
Haunted Castle,2001,PG,38,25,12.4,FALSE
Monkeybone,2001,PG-13,93,20,4.9,TRUE
3000 Miles to Graceland,2001,R,125,14,15.3,FALSE
See Spot Run,2001,PG,94,23,32.5,TRUE
The Mexican,2001,R,123,56,66.6,FALSE
Carman: The Champion,2001,PG-13,82,11,1.3,FALSE
Get Over It,2001,PG-13,87,44,11.3,TRUE
15 Minutes,2001,R,120,33,24.2,TRUE
Bartleby,2001,PG-13,83,35,0.0603,TRUE
Never Again,2001,R,98,31,0.2,FALSE
Enemy at the Gates,2001,R,131,54,50.5,FALSE
Exit Wounds,2001,R,101,32,51.4,TRUE
Heartbreakers,2001,PG-13,123,53,39.9,FALSE
The Brothers,2001,R,106,63,26.6,FALSE
Say It Isn't So,2001,R,95,9,4.8,TRUE
Spy Kids,2001,PG,88,93,110.8,FALSE
Someone Like You...,2001,PG-13,97,43,26.7,TRUE
Along Came a Spider,2001,R,104,32,73.6,FALSE
Blow,2001,R,124,55,52.8,FALSE
Joe Dirt,2001,PG-13,91,11,27.1,FALSE
Kingdom Come,2001,PG,94,28,22.6,FALSE
Josie and the Pussycats,2001,PG-13,98,53,14.1,FALSE
Crocodile Dundee in Los Angeles,2001,PG,92,11,25.3,FALSE
Freddy Got Fingered,2001,R,87,11,13.7,TRUE
Driven,2001,PG-13,116,14,32.4,FALSE
One Night at McCool's,2001,R,93,33,5.7,FALSE
The Forsaken,2001,R,90,7,6.3,TRUE
Town & Country,2001,R,104,13,6.3,FALSE
The Mummy Returns,2001,PG-13,130,47,200.7,TRUE
The Tailor of Panama,2001,R,109,77,13.1,FALSE
A Knight's Tale,2001,PG-13,132,58,55,TRUE
Shrek,2001,PG,90,88,267,TRUE
Pearl Harbor,2001,PG-13,183,25,197.8,TRUE
Startup.com,2001,R,107,92,0.5,TRUE
What's the Worst That Could Happen?,2001,PG-13,94,10,31.1,FALSE
Moulin Rouge!,2001,PG-13,127,76,55.1,TRUE
The Animal,2001,PG-13,84,30,54.4,FALSE
Swordfish,2001,R,99,26,68.8,FALSE
Evolution,2001,PG-13,101,43,37.6,TRUE
Lara Croft: Tomb Raider,2001,PG-13,100,19,129.5,FALSE
Atlantis: The Lost Empire,2001,PG,95,49,83.6,TRUE
The Fast and the Furious,2001,PG-13,106,53,142.5,TRUE
Dr. Dolittle 2,2001,PG,87,42,111.5,FALSE
Baby Boy,2001,R,130,71,27.8,FALSE
Pootie Tang,2001,PG-13,81,29,2.8,TRUE
The Anniversary Party,2001,R,115,60,3,FALSE
Crazy/Beautiful,2001,PG-13,99,63,16.2,FALSE
A.I. Artificial Intelligence,2001,PG-13,146,73,77.6,TRUE
Cats & Dogs,2001,PG,87,54,90.9,FALSE
Kiss of the Dragon,2001,R,98,51,34.7,FALSE
Final Fantasy: The Spirits Within,2001,PG-13,106,44,31.5,TRUE
The Score,2001,R,124,73,70.3,FALSE
Jurassic Park III,2001,PG-13,92,50,180.1,TRUE
America's Sweethearts,2001,PG-13,102,31,93,FALSE
Planet of the Apes,2001,PG-13,119,45,178.1,TRUE
Original Sin,2001,R,116,12,15.1,FALSE
The Princess Diaries,2001,G,115,47,107.8,TRUE
Rush Hour 2,2001,PG-13,90,52,226,TRUE
The Others,2001,PG-13,104,83,96.1,TRUE
Osmosis Jones,2001,PG,95,55,12.3,FALSE
American Pie 2,2001,R,108,52,144,FALSE
Captain Corelli's Mandolin,2001,R,131,29,25.3,TRUE
American Outlaws,2001,PG-13,94,14,11.9,FALSE
Rat Race,2001,PG-13,112,44,55.8,FALSE
The Believer,2001,R,102,82,0.2,TRUE
Jay and Silent Bob Strike Back,2001,R,104,53,29.9,FALSE
Bubble Boy,2001,PG-13,84,29,4.2,FALSE
Ghosts of Mars,2001,R,98,21,7.3,TRUE
Summer Catch,2001,PG-13,108,8,19,FALSE
The Curse of the Jade Scorpion,2001,PG-13,103,45,6.8,FALSE
The Deep End,2001,R,101,82,8.3,TRUE
O,2001,R,95,64,15.5,FALSE
Tortilla Soup,2001,PG-13,102,74,2.9,TRUE
Made,2001,R,95,71,3.7,FALSE
Hedwig and the Angry Inch,2001,R,95,92,1.5,FALSE
Jeepers Creepers,2001,R,90,45,37.5,FALSE
Soul Survivors,2001,PG-13,84,4,2,FALSE
The Musketeer,2001,PG-13,104,11,26.6,TRUE
Two Can Play That Game,2001,R,90,43,22,FALSE
The Glass House,2001,PG-13,106,21,17.4,TRUE
Megiddo: The Omega Code 2,2001,PG-13,104,10,5.6,FALSE
Ghost World,2001,R,111,92,4.7,TRUE
Glitter,2001,PG-13,104,7,3.9,FALSE
Hearts in Atlantis,2001,PG-13,101,50,23.6,FALSE
Zoolander,2001,PG-13,89,64,44.7,TRUE
Don't Say a Word,2001,R,113,24,54.2,FALSE
Extremedays,2001,PG,93,43,0.5,TRUE
Big Bad Love,2001,R,111,41,0.1,FALSE
Joy Ride,2001,R,97,73,21.3,FALSE
Serendipity,2001,PG-13,90,59,50,TRUE
Training Day,2001,R,122,72,76.1,FALSE
Max Keeble's Big Move,2001,PG,86,29,16.5,FALSE
Corky Romano,2001,PG-13,86,6,23,FALSE
Bandits,2001,PG-13,123,65,41.2,FALSE
Riding in Cars with Boys,2001,PG-13,132,49,29.6,FALSE
The Last Castle,2001,R,131,52,17.9,FALSE
From Hell,2001,R,122,57,30.7,TRUE
Mulholland Drive,2001,R,147,81,7.1,FALSE
Bones,2001,R,96,21,6.8,FALSE
Thir13en Ghosts,2001,R,91,14,41.6,TRUE
K-PAX,2001,PG-13,120,41,50,TRUE
Domestic Disturbance,2001,PG-13,89,24,44.4,TRUE
The One,2001,PG-13,87,14,43.9,FALSE
"Monsters, Inc.",2001,G,92,96,34,TRUE
Storytelling,2001,R,87,53,0.9,FALSE
Life as a House,2001,R,125,47,15.4,TRUE
Shallow Hal,2001,PG-13,114,51,70.7,FALSE
Heist,2001,R,109,65,23.3,TRUE
The Wash,2001,R,93,8,9.8,TRUE
Harry Potter and the Sorcerer's Stone,2001,PG,152,80,317.6,FALSE
The Man Who Wasn't There,2001,R,116,81,7.4,FALSE
Waking Life,2001,R,99,80,2.1,FALSE
Spy Game,2001,R,126,66,62.3,FALSE
Out Cold,2001,PG-13,89,8,13.9,TRUE
Black Knight,2001,PG-13,95,14,33.3,FALSE
Behind Enemy Lines,2001,PG-13,106,37,58.8,FALSE
Sidewalks of New York,2001,R,108,57,2.1,FALSE
Ocean's Eleven,2001,PG-13,116,82,183.3,TRUE
Vanilla Sky,2001,R,136,41,100.5,FALSE
Novocaine,2001,R,95,38,1.5,FALSE
Not Another Teen Movie,2001,R,89,28,37.9,FALSE
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,91,313.8,TRUE
The Majestic,2001,PG,152,42,27.7,TRUE
The Business of Strangers,2001,R,84,80,0.5,FALSE
Jimmy Neutron: Boy Genius,2001,G,82,75,80.9,FALSE
How High,2001,R,93,27,31.2,FALSE
Who Is Cletis Tout?,2001,R,92,23,0.0649,TRUE
Kate & Leopold,2001,PG-13,118,50,47.1,FALSE
Ali,2001,R,157,67,58.2,TRUE
The Royal Tenenbaums,2001,R,110,80,52.3,FALSE
A Beautiful Mind,2001,PG-13,135,75,170.7,FALSE
Impostor,2001,R,95,22,5.3,FALSE
American Adobo,2001,R,104,30,0.2,TRUE
The Shipping News,2001,R,111,55,11.4,TRUE
Gosford Park,2001,R,137,85,41.3,TRUE
Black Hawk Down,2001,R,144,76,108.6,FALSE
I Am Sam,2001,PG-13,132,34,40.3,FALSE
Birthday Girl,2001,R,93,58,4.9,TRUE
In the Bedroom,2001,R,130,93,35.7,FALSE
Super Troopers,2001,R,100,35,18.4,FALSE
Monster's Ball,2001,R,111,85,31.3,TRUE
The Mystic Masseur,2001,PG,117,52,0.3,TRUE
Iris,2001,R,91,79,5.4,FALSE
Kissing Jessica Stein,2001,R,97,84,7,FALSE
Human Nature,2001,R,96,49,0.7,FALSE
The Other Side of Heaven,2001,PG,113,29,4.4,FALSE
Frailty,2001,R,100,73,13.1,FALSE
Piñero,2001,R,103,43,0.2,TRUE
Monsoon Wedding,2001,R,114,95,13.7,TRUE
Jason X,2001,R,91,19,12.6,TRUE
The Cat's Meow,2001,PG-13,114,75,3.2,TRUE
Dogtown and Z-Boys,2001,PG-13,91,92,1.2,FALSE
CQ,2001,R,88,67,0.3,TRUE
Enigma,2001,R,119,72,3.8,TRUE
Thirteen Conversations About One Thing,2001,R,104,83,3,FALSE
Festival in Cannes,2001,PG-13,100,65,0.041,TRUE
Lovely & Amazing,2001,R,91,86,4.2,TRUE
Little Secrets,2001,PG,96,60,0.4,FALSE
Knockaround Guys,2001,R,92,20,11.5,TRUE
Pokémon 4: The Movie,2001,G,75,14,1.6,TRUE
The Man from Elysian Fields,2001,R,106,51,1.3,FALSE
Cowboy Bebop: The Movie,2001,R,115,64,0.9,FALSE
The Safety of Objects,2001,R,121,49,0.0862,TRUE
On_Line,2002,R,97,38,0.0257,TRUE
Orange County,2002,PG-13,82,46,41,TRUE
State Property,2002,R,88,0,2.1,FALSE
Snow Dogs,2002,PG,99,24,81.1,TRUE
A Walk to Remember,2002,PG,101,27,41.1,FALSE
Kung Pow: Enter the Fist,2002,PG-13,81,11,15.9,TRUE
The Count of Monte Cristo,2002,PG-13,131,73,54.1,TRUE
The Mothman Prophecies,2002,PG-13,119,52,35.2,FALSE
The Singles Ward,2002,PG,102,50,1.1,FALSE
Slackers,2002,R,86,10,4.8,TRUE
Big Fat Liar,2002,PG,88,42,47.8,FALSE
Collateral Damage,2002,R,108,19,40,FALSE
Rollerball,2002,R,98,3,18.9,TRUE
Crossroads,2002,PG-13,93,14,37.1,FALSE
John Q,2002,PG-13,116,23,71,TRUE
Hart's War,2002,R,125,60,19,FALSE
Return to Never Land,2002,G,72,45,48.3,FALSE
Heaven,2002,R,97,74,0.6,TRUE
Dragonfly,2002,PG-13,104,7,30.1,FALSE
Queen of the Damned,2002,R,101,17,30.3,FALSE
We Were Soldiers,2002,R,138,63,78.1,FALSE
The Time Machine,2002,PG-13,96,29,56.7,FALSE
All About the Benjamins,2002,R,95,30,25.5,FALSE
Showtime,2002,PG-13,95,25,37.9,FALSE
Ice Age,2002,PG,81,77,176.2,FALSE
Resident Evil,2002,R,100,33,39.5,FALSE
Sorority Boys,2002,R,93,13,10.2,TRUE
Blade II,2002,R,117,59,81.6,TRUE
Clockstoppers,2002,PG,94,29,36.9,FALSE
Panic Room,2002,R,112,76,95.3,TRUE
Death to Smoochy,2002,R,109,42,8.3,FALSE
The Rookie,2002,G,127,83,75.5,TRUE
Van Wilder: Party Liaison,2002,R,92,18,21,TRUE
Big Trouble,2002,PG-13,85,48,7.3,TRUE
Changing Lanes,2002,R,98,77,66.7,TRUE
The Sweetest Thing,2002,R,88,26,24.4,TRUE
The Scorpion King,2002,PG-13,92,41,90.3,TRUE
Life or Something Like It,2002,PG-13,103,28,14.4,TRUE
Deuces Wild,2002,R,96,3,6,FALSE
Hollywood Ending,2002,PG-13,112,47,4.8,TRUE
The New Guy,2002,PG-13,88,7,29,TRUE
Unfaithful,2002,R,124,49,52.7,FALSE
Star Wars: Episode II - Attack of the Clones,2002,PG,142,67,310.3,FALSE
The Salton Sea,2002,R,103,62,0.6,TRUE
About a Boy,2002,PG-13,101,93,40.6,FALSE
Spirit: Stallion of the Cimarron,2002,G,83,69,73.2,TRUE
Enough,2002,PG-13,115,22,39.2,FALSE
Insomnia,2002,R,118,92,67.2,TRUE
Civil Brand,2002,R,95,16,0.1,FALSE
Undercover Brother,2002,PG-13,86,77,38.2,TRUE
The Sum of All Fears,2002,PG-13,124,59,118.5,TRUE
Divine Secrets of the Ya-Ya Sisterhood,2002,PG-13,116,44,69.5,TRUE
Bad Company,2002,PG-13,116,10,30.1,TRUE
The Bourne Identity,2002,PG-13,119,83,121.5,FALSE
Scooby-Doo,2002,PG,86,30,153.2,TRUE
Windtalkers,2002,R,134,32,40.5,FALSE
Passionada,2002,PG-13,108,58,0.5,FALSE
Minority Report,2002,PG-13,145,90,131.9,FALSE
Juwanna Mann,2002,PG-13,91,10,13.4,FALSE
Lilo & Stitch,2002,PG,85,86,145.8,FALSE
Mr. Deeds,2002,PG-13,96,22,126.2,FALSE
Hey Arnold! The Movie,2002,PG,76,29,13.6,FALSE
Like Mike,2002,PG,99,57,51.4,TRUE
Men in Black II,2002,PG-13,88,39,190.4,TRUE
The Powerpuff Girls Movie,2002,PG,73,63,11.3,FALSE
Sunshine State,2002,PG-13,141,80,2.8,TRUE
Halloween: Resurrection,2002,R,94,12,30.3,TRUE
Reign of Fire,2002,PG-13,101,40,42.9,FALSE
Road to Perdition,2002,R,117,81,104.1,FALSE
The Crocodile Hunter: Collision Course,2002,PG,90,53,28.3,FALSE
Eight Legged Freaks,2002,PG-13,99,48,17.2,FALSE
K-19: The Widowmaker,2002,PG-13,138,60,35.1,TRUE
Stuart Little 2,2002,PG,77,81,64.7,FALSE
Austin Powers in Goldmember,2002,PG-13,94,54,213.1,FALSE
The Country Bears,2002,G,88,30,16.9,FALSE
The Master of Disguise,2002,PG,80,1,40.3,FALSE
Signs,2002,PG-13,106,74,227.9,TRUE
Martin Lawrence Live: Runteldat,2002,R,113,39,19.1,TRUE
My Big Fat Greek Wedding,2002,PG,95,76,241.3,TRUE
Spy Kids 2: Island of Lost Dreams,2002,PG,100,74,85.6,FALSE
xXx,2002,PG-13,124,48,141.1,FALSE
Blood Work,2002,R,110,53,26.1,FALSE
Blue Crush,2002,PG-13,104,36,1,FALSE
The Adventures of Pluto Nash,2002,PG-13,95,5,4.4,FALSE
S1m0ne,2002,PG-13,117,51,9.5,TRUE
Serving Sara,2002,PG-13,99,4,16.9,FALSE
Possession,2002,PG-13,102,65,10.1,FALSE
Feardotcom,2002,R,101,3,13.1,FALSE
City by the Sea,2002,R,108,48,22.4,TRUE
Swimfan,2002,PG-13,85,14,28.3,FALSE
Stealing Harvard,2002,PG-13,85,9,13.9,FALSE
Barbershop,2002,PG-13,102,82,75.1,FALSE
Manna from Heaven,2002,PG,119,22,0.1,FALSE
Ballistic: Ecks vs. Sever,2002,R,91,0,14.2,FALSE
Charly,2002,PG,103,20,0.7,TRUE
The Banger Sisters,2002,R,98,47,30.2,FALSE
The Four Feathers,2002,PG-13,132,41,18.2,FALSE
Trapped,2002,R,106,18,6.9,TRUE
Pandora's Box,2002,R,103,0,0.8,FALSE
Sweet Home Alabama,2002,PG-13,108,38,127.2,FALSE
The Tuxedo,2002,PG-13,98,22,50.2,FALSE
Jonah: A VeggieTales Movie,2002,G,82,65,25.4,FALSE
Igby Goes Down,2002,R,98,76,4.6,FALSE
Red Dragon,2002,R,124,69,92.9,TRUE
Moonlight Mile,2002,PG-13,117,63,6.7,FALSE
Anything But Love,2002,PG-13,102,37,0.0587,TRUE
Secretary,2002,R,104,75,3.8,FALSE
The Transporter,2002,PG-13,92,53,25.2,FALSE
The Rules of Attraction,2002,R,110,43,6.5,TRUE
White Oleander,2002,PG-13,109,70,16.3,TRUE
Brown Sugar,2002,PG-13,109,66,27.2,FALSE
Tuck Everlasting,2002,PG,90,61,19,FALSE
The Ring,2002,PG-13,115,72,128.6,TRUE
Welcome to Collinwood,2002,R,86,54,0.0752,FALSE
Abandon,2002,PG-13,99,16,10.7,TRUE
Hansel & Gretel,2002,PG,89,0,0.1,FALSE
Paid in Full,2002,R,97,51,3,FALSE
Jackass: The Movie,2002,R,87,48,64.2,FALSE
The Truth About Charlie,2002,PG-13,104,33,5.3,TRUE
Ghost Ship,2002,R,91,14,30.1,TRUE
Auto Focus,2002,R,105,72,1.8,FALSE
Comedian,2002,R,82,76,2.7,FALSE
Punch-Drunk Love,2002,R,95,79,17.8,FALSE
The Santa Clause 2,2002,G,104,55,139.2,TRUE
8 Mile,2002,R,110,76,116.6,TRUE
Real Women Have Curves,2002,PG-13,90,83,5.7,TRUE
Bowling for Columbine,2002,R,120,96,21.2,FALSE
Harry Potter and the Chamber of Secrets,2002,PG,161,82,261.8,FALSE
Half Past Dead,2002,PG-13,98,3,15.4,FALSE
Frida,2002,R,123,76,25.7,TRUE
Friday After Next,2002,R,85,25,33,TRUE
The Emperor's Club,2002,PG-13,109,50,14,TRUE
Roger Dodger,2002,R,106,88,1.2,FALSE
Die Another Day,2002,PG-13,133,57,160.2,TRUE
Eight Crazy Nights,2002,PG-13,76,12,23.3,FALSE
Solaris,2002,PG-13,99,66,14.8,TRUE
Treasure Planet,2002,PG,95,68,38.1,TRUE
They,2002,PG-13,89,38,12.6,FALSE
Standing in the Shadows of Motown,2002,PG,108,92,1.2,FALSE
Analyze That,2002,R,96,27,32.1,FALSE
Empire,2002,R,90,21,17.5,FALSE
Drumline,2002,PG-13,118,82,56.2,FALSE
Maid in Manhattan,2002,PG-13,105,39,93.8,FALSE
Star Trek: Nemesis,2002,PG-13,116,37,43.1,TRUE
The Hot Chick,2002,PG-13,104,21,34.9,FALSE
The Lord of the Rings: The Two Towers,2002,PG-13,179,96,340.5,TRUE
The Wild Thornberrys Movie,2002,PG,85,80,39.8,FALSE
Gangs of New York,2002,R,167,75,77.6,TRUE
Two Weeks Notice,2002,PG-13,101,42,93.2,FALSE
Catch Me If You Can,2002,PG-13,141,96,164.4,FALSE
Pinocchio,2002,G,108,0,3.6,FALSE
Evelyn,2002,PG,94,64,1.3,TRUE
About Schmidt,2002,R,125,85,65,FALSE
25th Hour,2002,R,135,78,12.8,FALSE
Narc,2002,R,105,83,10.2,TRUE
Antwone Fisher,2002,PG-13,120,79,20.8,FALSE
Far from Heaven,2002,PG-13,107,87,15.8,FALSE
Cherish,2002,R,99,51,0.2,FALSE
Chicago,2002,PG-13,113,86,170.6,FALSE
Confessions of a Dangerous Mind,2002,R,113,79,15.9,TRUE
Spun,2002,R,101,37,0.2,FALSE
Adaptation.,2002,R,114,91,22.2,TRUE
The Hours,2002,PG-13,114,81,41.5,FALSE
The Guru,2002,R,94,57,2.9,FALSE
Dark Blue,2002,R,118,58,9.1,TRUE
Poolhall Junkies,2002,R,99,34,0.5,TRUE
Boat Trip,2002,R,94,7,8.5,TRUE
City of Ghosts,2002,R,116,47,0.3,FALSE
Personal Velocity: Three Portraits,2002,R,86,69,0.6,FALSE
Laurel Canyon,2002,R,103,68,3.6,FALSE
Phone Booth,2002,R,81,71,46.5,TRUE
Better Luck Tomorrow,2002,R,101,81,3.7,TRUE
Raising Victor Vargas,2002,R,88,96,2,TRUE
The Dancer Upstairs,2002,R,132,64,2.3,FALSE
Spellbound,2002,G,97,98,5.5,FALSE
Nicholas Nickleby,2002,PG,132,77,1.3,TRUE
Stolen Summer,2002,PG,91,36,0.1,FALSE
Bend It Like Beckham,2002,PG-13,112,85,32.4,TRUE
The Secret Lives of Dentists,2002,R,104,85,3.6,FALSE
Assassination Tango,2002,R,114,48,0.9,TRUE
Cabin Fever,2002,R,93,63,21.1,FALSE
Pumpkin,2002,R,113,36,0.1,TRUE
Darkness,2002,PG-13,88,4,22,FALSE
G,2002,R,97,24,3,FALSE
National Security,2003,PG-13,88,11,35.8,FALSE
A Guy Thing,2003,PG-13,101,24,15.4,FALSE
Darkness Falls,2003,PG-13,86,9,32,TRUE
The R.M.,2003,PG,101,64,0.4,TRUE
Final Destination 2,2003,R,90,48,46.5,TRUE
Biker Boyz,2003,PG-13,110,23,21.7,TRUE
The Recruit,2003,PG-13,115,43,52.7,TRUE
Deliver Us from Eva,2003,R,105,44,17.3,TRUE
Shanghai Knights,2003,PG-13,114,66,60.4,TRUE
How to Lose a Guy in 10 Days,2003,PG-13,116,42,105.8,FALSE
Daredevil,2003,PG-13,103,45,102.5,FALSE
The Jungle Book 2,2003,G,72,19,47.8,FALSE
Gods and Generals,2003,PG-13,219,8,12.9,FALSE
Old School,2003,R,88,60,74.6,FALSE
The Life of David Gale,2003,R,130,19,19.6,FALSE
Cradle 2 the Grave,2003,R,101,26,34.5,TRUE
Tears of the Sun,2003,R,121,33,43.4,FALSE
Bringing Down the House,2003,PG-13,105,34,132.5,FALSE
The Hunted,2003,R,94,29,34.2,FALSE
Agent Cody Banks,2003,PG,102,39,47.3,TRUE
Willard,2003,PG-13,100,64,6.8,FALSE
Dreamcatcher,2003,R,134,30,33.6,FALSE
View from the Top,2003,PG-13,87,14,15.5,FALSE
Piglet's Big Movie,2003,G,75,71,23.1,FALSE
The Core,2003,PG-13,135,41,31,FALSE
Head of State,2003,PG-13,95,31,37.8,FALSE
Basic,2003,R,98,21,26.5,FALSE
DysFunktional Family,2003,R,89,43,2.2,FALSE
What a Girl Wants,2003,PG,105,35,36,TRUE
A Man Apart,2003,R,109,11,26.2,TRUE
House of 1000 Corpses,2003,R,89,19,12.6,TRUE
Anger Management,2003,PG-13,106,43,133.8,TRUE
Bulletproof Monk,2003,PG-13,104,23,23,FALSE
Chasing Papi,2003,PG,80,14,6.1,TRUE
Ghosts of the Abyss,2003,PG,59,80,16.3,TRUE
Malibu's Most Wanted,2003,PG-13,86,31,34.3,FALSE
Holes,2003,PG,117,77,67.3,FALSE
It Runs in the Family,2003,PG-13,109,28,7.4,TRUE
Confidence,2003,R,97,70,12.1,FALSE
The Real Cancun,2003,R,96,35,3.7,TRUE
Identity,2003,R,90,62,51.5,FALSE
The Lizzie McGuire Movie,2003,PG,94,40,42.7,FALSE
X-Men 2,2003,PG-13,134,87,214.8,FALSE
A Mighty Wind,2003,PG-13,91,88,17.5,TRUE
Daddy Day Care,2003,PG,92,28,104.1,FALSE
The Matrix Reloaded,2003,R,138,73,281.5,TRUE
The Shape of Things,2003,R,96,64,0.7,FALSE
The In-Laws,2003,PG-13,98,34,20.4,FALSE
Bruce Almighty,2003,PG-13,101,48,242.6,TRUE
Wrong Turn,2003,R,84,41,15.2,FALSE
Finding Nemo,2003,G,100,99,41.1,FALSE
The Italian Job,2003,PG-13,111,73,106,TRUE
2 Fast 2 Furious,2003,PG-13,107,36,127.1,FALSE
Hollywood Homicide,2003,PG-13,116,30,30,FALSE
